Reporting Date,Main Account Number,Main Account Name,Sub Account Number,Sub Account Name,Security Description,CUSIP,Symbol,SEDOL,ISIN,QUICK,RIC,MBS CUSIP,Bloomberg Ticker,RED Identifier,Issuer Code,Underlying Security Description,Underlying Security CUSIP,Underlying Security Symbol,Underlying Security SEDOL,Underlying Security ISIN,Underlying Security Quick,Underlying Security RIC,Underlying Security Bloomberg Ticker,MS Trade Reference Id,Client Trade Reference Id,Current Quantity,Quantity,Long/Short Code,Price (Issue),Price (USD),Market Value / Net Equity (Issue),Market Value / Net Equity (USD),Gross Market Value (Issue),Gross Market Value (USD),Accrued Interest (Issue),Accrued Interest (USD),Pending Payment (Issue),Pending Payment (USD),Notional Cost (Issue),Notional Cost (USD),Original Premium (Issue),Original Premium (USD),Issue Currency,Swap Currency,Fx Rate Issue To USD,FX Rate Multiply/Divide Indicator Issue to USD,FX Rate Settle to USD,FX Rate Multiply/Divide Indicator Settle to USD,Product Type,Position Type Description,Position Type,Trade Date (For Derivatives),Start Date,Maturity Date,Strike Price,Conversion Factor,Number Of Ticks,Tick Value,Custodian Code,Notional Flag,Day Count Method,Account Type,Coupon Rate,S/D Balance (Issue),S/D Balance (Base),FX Rate Issue To Base,FX Rate Multiply/Divide Indicator Issue to Base,FX Rate Settle to Base,FX Rate Multiply/Divide Indicator Settle to Base,Base Currency,Price (Base),Market Value / Net Equity (Base),Gross Market Value (Base),Accrued Interest (Base),Pending Payment (Base),Notional Cost (Base),Original Premium (Base),Exchange Code,Asset Class,Direction,Independent Amount,Rate,Bloomberg Code,Underlying Product Type,Expiration Date,Notional Cost (Settle),Settlement Date Quantity,Settle Date Gross Market Value (Issue),Settle Date Gross Market Value (USD),Settle Date Gross Market Value (Base),Swap Futures Contract size,Swap Futures Number of Contracts,Pay To Hold Indicator,Commodity Options Put/Call Indicator,Trading Name ID,Trading Name,USI,UTI,Restricted Quantity for Swaps,Accrued Dividend (Issue),Accrued Dividend (USD),Accrued Dividend (Base),Accrued Stock,Settle Currency,Report Name,Generation Account Number,Run Date,Bloomberg ID,SNS ID,Pending Asset Transfer QTY,Pending Asset Transfer AMT (Issue),Pending Asset Transfer AMT (USD),Pending Asset Transfer AMT (Base),Bloomberg Global ID,RED Code
9/27/2018,Conta123,Fundo Felipe FIRF,conta789,Fundo Felipe FIRF,DOLLARS,,USD,,,,USD.CASH,,,USD,,,,,,,,,,,,50,0,L,1,1,50,50,50,50,0,0,0,0,0,0,0,0,USD,,1,M,0,,CASH,CASH,CASH,,,,0,0,0,0,MSCA,N,0,,0,50,50,1,M,0,M,USD,1,50,50,0,0,0,0,,Cash,,,,,,12/31/2100,0,50,50,50,50,,,,,TN000167456,Felipepart,,,,,,,,,MAC001RX - Global Positions Rollup Extract,Conta123,9/28/2018,,,,,,,,
9/27/2018,Conta123,Fundo Felipe FIRF,conta912,Fundo Felipe FIRF,DOLLARS,,USD,,,,USD.CASH,,,USD,,,,,,,,,,,,-50,0,S,1,1,-50,-50,-50,-50,0,0,0,0,0,0,0,0,USD,,1,M,0,,CASH,CASH,CASH,,,,0,0,0,0,MSCA,N,0,,0,-50,-50,1,M,0,M,USD,1,-50,-50,0,0,0,0,,Cash,,,,,,12/31/2100,0,-50,-50,-50,-50,,,,,TN000167456,Felipepart,,,,,,,,,MAC001RX - Global Positions Rollup Extract,Conta123,9/28/2018,,,,,,,,
9/27/2018,Conta123,Fundo Felipe FIRF,conta234,Fundo Felipe FIRF,DOLLARS,,USD,,,,USD.CASH,,,USD,,,,,,,,,,,,-100,0,S,1,1,-100,-100,-100,-100,0,0,0,0,0,0,0,0,USD,,1,M,0,,CASH,CASH,CASH,,,,0,0,0,0,MSCO,N,0,,0,-100,-100,1,M,0,M,USD,1,-100,-100,0,0,0,0,,Cash,,,,,,12/31/2100,0,-100,-100,-100,-100,,,,,TN000167456,Felipepart,,,,,,,,,MAC001RX - Global Positions Rollup Extract,Conta123,9/28/2018,,,,,,,,
9/27/2018,Conta123,Fundo Felipe FIRF,Conta 123,Fundo Felipe FIRF,DOLLARS,,USD,,,,USD.CASH,,,USD,,,,,,,,,,,,100,0,L,1,1,100,100,100,100,0,0,0,0,0,0,0,0,USD,,1,M,0,,CASH,CASH,CASH,,,,0,0,0,0,MSCO,N,0,,0,100,100,1,M,0,M,USD,1,100,100,0,0,0,0,,Cash,,,,,,12/31/2100,0,100,100,100,100,,,,,TN000167456,Felipepart,,,,,,,,,MAC001RX - Global Positions Rollup Extract,Conta123,9/28/2018,,,,,,,,
9/27/2018,Conta123,Fundo Felipe FIRF,conta789,Fundo Felipe RF,ITAU UNIBANCO HOLDING S-PREF,,BRLID-1D,B037HR3,BRITUBACNPR1,,,,,QDG20,,ITAU UNIBANCO HOLDING AS,,,,,,,,QDG20,,0,0,S,30,0,-12000,-3000,0,0,-520.42,-520.42,0,0,0,0,0,0,BRL,BRL,0,,1,,STOCK,EQUITY SWAP FINANCING,EQF,6/4/2018,,1/24/2019,0,0,0,0,MSCA,Y,,,0,0,0,0.2504195,M,1,M,USD,0,-520.42,0,-520.42,0,0,0,,Equity Swaps,,,,,,12/31/2100,0,0,0,0,0,0,0,,,TN000167456,Felipepart,,,0,,,,,USD,MAC001RX - Global Positions Rollup Extract,Conta123,9/28/2018,,,,,,,,
9/27/2018,Conta123,Fundo Felipe FIRF,conta789,Fundo Felipe RF,ITAU UNIBANCO HOLDING S-PREF,99BAH5553,ITUB4,B037HR3,BRITUBACNPR1,,ITUB4.SA,,ITUB4 BZ,QDG20,,ITAU UNIBANCO HOLDING AS,,ITUB4,B037HR3,BRITUBACNPR1,,ITUB4.SA,ITUB4 BZ,QDG20,,5000,5000,L,44.13,10.95,40000,10000,220650,55162.5,0,0,0,0,50000,10000,0,0,BRL,BRL,3.993300,D,1,M,STOCK,EQUITY SWAP,EQS,5/29/2018,,1/24/2019,0,0,0,0,MSCA,Y,,,0,0,0,0.2504195,M,1,M,USD,6.678686,78206.98,567688.38,0,0,493387.8,0,,Equity Swaps,,,,ITUB4 BZ,,12/31/2100,493387.8,5000,0,0,0,0,0,,,TN000167456,Felipepart,,,0,0,0,0,,USD,MAC001RX - Global Positions Rollup Extract,Conta123,9/28/2018,,,,,,,,
9/27/2018,Conta123,Fundo Felipe FIRF,conta567,Fundo Felipe FI,BRL/USD 2020/12/01,,BRL,,,,,,,ITFSGX,,,,BRL/USD,,,,,,ITFSGX,,-100000,0,S,1,3.9939,0,5000,-100000,25000,0,0,0,0,-100000,25000,0,4.12,BRL,USD,3.993922,D,1,D,FX FORWARDS,FX FORWARDS,FX,8/31/2018,,12/1/2020,0,0,0,0,MSCS,Y,,,0,0,0,0.2504195,M,1,M,USD,3.9939,5000,25000,0,0,25000,4.12,,Fx Forwards,,,,,,10/2/2018,25000,0,0,0,0,0,0,,,TN000167456,Felipepart,,,,,,,,USD,MAC001RX - Global Positions Rollup Extract,Conta123,9/28/2018,,,,,,,,
9/27/2018,Conta123,Fundo Felipe FIRF,conta345,Fundo Felipe RF,IRS FIXED RATE 5 01/01/2050,,,,,,,,,DPXQD,,,,,,,,,LIBOR-BBA,DPXQD,583DC4A104580028,5000,0,P,-6.68791,-6.68791,50,50,0,0,-20,-20,0,0,5000,5000,0,0,USD,,1,M,0,,IRS,Interest Rate Swap,IRS,11/29/2016,12/1/2016,12/1/2026,0,0,0,0,MSCO,Y,,,0,0,0,1,M,0,M,USD,-6.68791,50,0,-20,0,5000,0,,Interest rate Swaps,FIXED-PAY,,,,,12/31/2100,0,0,0,0,0,0,0,,,TN000167456,Felipepart,,,,,,,,,MAC001RX - Global Positions Rollup Extract,Conta123,9/28/2018,,,,,,,,
9/27/2018,Conta123,Fundo Felipe FIRF,Conta 123,Fundo Felipe FIRF,ELAN  DSC 17MAR2019 REGS,999F1SM04,,,XS1785362572,,,999F1SM04,,999F1SM04,BBB03478679,ELAN LTD.,999F1SM04,,,XS1785362572,,,,,,6280000,6280000,L,0,0,0,0,0,0,,,0,0,0,0,0,0,BRL,BRL,0.2504195,M,0,,CORP,Non-Conv Corp,PB,,,3/17/2019,0,1,0,0,MSCO,N,0,,,0,6280000,0.2504195,M,0.2504195,M,USD,0,0,0,,0,0,0,,Cash Securities,,,,,,12/31/2100,0,6280000,0,0,0,,,,,TN000167456,Felipepart,,,,,,,,BRL,MAC001RX - Global Positions Rollup Extract,Conta123,9/28/2018,,,,,,,,
9/27/2018,Conta123,Fundo Felipe FIRF,Conta 123,Fundo Felipe FIRF,JPMORGAN CHASE & CO,46625H100,JPM,2190385,US46625H1005,,JPM,46625H100,JPM US Equity,,,JPMorgan Chase & Co,46625H100,JPM,2190385,US0231351067,,JPM,JPM US Equity,,,100,100,L,10,10,1000,1000,1000,1000,,,0,0,0,0,0,0,USD,USD,1,M,0,,EQTY,Equity,PB,,,,0,1,0,0,MSCO,N,0,,,0,15000,1,M,1,M,USD,10,1000,1000,,0,0,0,,Cash Securities,,,,JPM US Equity,,12/31/2100,0,15000,1000,1000,1000,,,,,TN000167456,Felipepart,,,,,,,,USD,MAC001RX - Global Positions Rollup Extract,Conta123,9/28/2018,,,,,,,,
9/27/2018,Conta123,Fundo Felipe FIRF,Conta 123,Fundo Felipe FIRF,BILL 11/01/18,912796QF9,BILL,BG1TF24,US912796QF90,,,912796QF9,912796QF9,912796QF9,BBB00258152,U.S. DEPARTMENT OF THE TREASURY,912796QF9,BILL,BG1TF24,US912796QF90,,,912796QF9,,,100,100,L,100,99.806035,1000,1000,10000,10000,,,0,0,0,0,0,0,USD,USD,1,M,0,,USTRS,US Treasury & Agency,PB,,,11/1/2018,0,1,0,0,MSCO,N,0,,,0,100,1,M,1,M,USD,100,10000,10000,,0,0,0,,Cash Securities,,,,912796QF9,,12/31/2100,0,100,10000,10000,10000,,,,,TN000167456,Felipepart,,,,,,,,USD,MAC001RX - Global Positions Rollup Extract,Conta123,9/28/2018,GV912796QF9,,,,,,BBG00KSNTMR5,
Count=11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
